gender,treatment,time_slot,code
남,silent,AM,남100
남,60bpm,PM,남101
남,130bpm,AM,남102
남,silent,PM,남103
남,60bpm,AM,남104
남,130bpm,PM,남105
남,silent,AM,남106
남,60bpm,PM,남107
남,130bpm,AM,남108
남,silent,PM,남109
남,60bpm,AM,남110
남,130bpm,PM,남111
여,silent,AM,여100
여,60bpm,PM,여101
여,130bpm,AM,여102
여,silent,PM,여103
여,60bpm,AM,여104
여,130bpm,PM,여105
여,silent,AM,여106
여,60bpm,PM,여107
여,130bpm,AM,여108
여,silent,PM,여109
여,60bpm,AM,여110
여,130bpm,PM,여111
